wavelength,Ezero,a_W,bb_W,chi,e,fastocean_450,fastocean_530,fastocean_624,fasttracka_ii,fire,phyto_abs,fastact
514,0.911593306,0.038982143,0.00098527,0.067761412,0.618310782,346.7345714,40102.39314,0,2342.258,0,0.03357533,631.3046248
513,0.911400901,0.037905835,0.000993594,0.068000855,0.62086864,422.19,38849.5,0,2528.166,0,0.03357533,604.0023377
512,0.909676916,0.036388144,0.001002005,0.068269593,0.622771106,446.5583333,37917.74,0,2753.732,0,0.03357533,590.6256846
511,0.906019923,0.034526762,0.001010503,0.068618887,0.624115715,467.2794286,37089.11829,0,3032.876,0,0.034974302,577.2490315
510,0.900381644,0.0325,0.001019091,0.0691,0.625,467.3797143,36099.98743,0,3323.966,0,0.034974302,549.2061046
509,0.893194501,0.0304959,0.001027768,0.069748377,0.625518054,492.2525714,35236.03571,0,3666.49,0,0.036373274,520.0016448
508,0.885895778,0.028727406,0.001036537,0.070536201,0.6257502,563.9377143,34263.64457,0,4011.036,0,0.036373274,490.507688
507,0.880005894,0.027402266,0.001045398,0.071419835,0.625773319,546.7813889,33215.48944,0,4396.008,0,0.036373274,460.0975026
506,0.876852696,0.026465621,0.001054353,0.072355647,0.625664292,674.5685714,32131.42,0,4756.246,0,0.037772246,430.8920975
505,0.875610901,0.0256,0.001063402,0.0733,0.6255,672.9154286,30815.42229,0,5112.084,0,0.037772246,401.098009
504,0.875069554,0.024554061,0.001072547,0.074215479,0.625341802,715.1851429,29336.30457,0,5494.766,0,0.037772246,374.4964229
503,0.876201806,0.023386643,0.001081789,0.075089542,0.625188961,768.0168571,27867.72086,0,5942.406,0,0.039171218,349.295057
502,0.87971636,0.022233177,0.001091129,0.075915865,0.62502522,828.8417143,26360.84286,0,6476.162,0,0.039171218,326.3425513
501,0.88497346,0.021207129,0.001100569,0.076688126,0.624834319,897.83,24908.82,0,7073.526,0,0.04057019,304.3679547
500,0.891060391,0.0204,0.001110109,0.0774,0.6246,994.038,23565.21486,0,7796.08,0,0.04057019,283.3147858
499,0.897269962,0.019848949,0.001119752,0.078048907,0.624317139,1104.160857,22255.62657,0,8566.786,0,0.04057019,263.0088737
498,0.903037677,0.019377594,0.001129498,0.078647232,0.624025154,1184.69,20968.73639,0,9395.33,0,0.041969162,243.5657809
497,0.908261352,0.018765414,0.001139348,0.079211104,0.6237746,1219.088056,19816.22694,0,10311.354,0,0.041969162,224.765726
496,0.913744304,0.018004588,0.001149305,0.079756651,0.623616031,1368.156571,18543.83371,0,11248.88,0,0.043368134,208.3326933
495,0.919910302,0.0173,0.001159369,0.0803,0.6236,1446.191143,17206.284,0,12216.708,5,0.043368134,200.5471139
494,0.926049637,0.016802432,0.001169542,0.080854494,0.623757643,1658.218,16036.20314,0,13168.922,10,0.044767106,192.7615346
493,0.931370588,0.01640928,0.001179825,0.08142233,0.624042421,1799.255,14842.64333,0,14297.074,10,0.044767106,178.5305698
492,0.935707624,0.015961018,0.001190219,0.082002918,0.624388378,1946.802,13917.496,0,15481.928,10,0.046166078,164.9554045
491,0.939192323,0.015445909,0.001200726,0.082595672,0.624729557,2088.265556,12861.18778,0,16854.73,15,0.04756505,152.236914
490,0.941952439,0.015,0.001211348,0.0832,0.625,2261.181714,12105.10229,0,18314.5,20,0.04756505,141.6176905
489,0.944056165,0.014719495,0.001222086,0.083813918,0.62516509,2304.908571,10802.53857,0,19790.012,20,0.048964022,132.1384944
488,0.945535802,0.014515521,0.001232942,0.084429849,0.625315561,2456.296667,9654.686667,0,21385.434,20,0.048964022,123.7133039
487,0.946444319,0.014257642,0.001243916,0.085038822,0.625573487,2732.090571,8750.173429,0,22913.566,30,0.050362995,117.3505138
486,0.946932495,0.013923738,0.001255011,0.085631863,0.626060942,2874.810833,7630.684167,0,24347.188,40,0.051761967,110.8057541
485,0.947179356,0.0136,0.001266228,0.0862,0.6269,3232.564444,6945.14,0,25678.036,50,0.051761967,106.9248397
484,0.947363931,0.013356102,0.001277568,0.086740235,0.628148399,3529.604167,6251.668333,0,26970.218,60,0.053160939,102.9092206
483,0.947617747,0.013176811,0.001289034,0.087273473,0.629606537,3928.322571,5832.835429,0,28406.35,70,0.053160939,100.3538481
482,0.947768533,0.013025973,0.001300627,0.087826594,0.631010474,4245.459429,5301.942571,0,30121.606,80,0.054559911,97.4477706
481,0.947524375,0.012874425,0.001312349,0.088426476,0.632096275,4427.223889,4777.508611,0,32314.608,85,0.055958883,94.62535186
480,0.946638806,0.0127,0.001324201,0.0891,0.6326,4755.196667,4268.803333,0,34487.528,90,0.055958883,91.27640301
479,0.945241625,0.012485929,0.001336185,0.089864341,0.632350114,4781.516111,3600.389444,0,36120.294,95,0.057357855,89.38533755
478,0.943647493,0.012235833,0.001348303,0.090697857,0.631544693,5075.134444,3089.917778,0,38331.21,100,0.058756827,87.49427209
477,0.942086496,0.011958777,0.001360557,0.091569203,0.630474215,5454.524167,2653.018333,0,40250.086,112.5,0.058756827,85.43045372
