,flashlet_number,fyield,datetime,seq,seq_time,pfd,led_sequence
824,125,0.184293,2016-07-06 18:05:50,5.0,4709,0.0003036,2
825,126,0.18926700000000002,2016-07-06 18:05:50,5.0,4927,0.0003036,2
826,127,0.184393,2016-07-06 18:05:50,5.0,5148,0.0003036,2
827,128,0.196691,2016-07-06 18:05:50,5.0,5372,0.0003036,2
828,129,0.191664,2016-07-06 18:05:50,5.0,5600,0.0003036,2
829,130,0.18001,2016-07-06 18:05:50,5.0,5831,0.0003036,2
830,131,0.186139,2016-07-06 18:05:50,5.0,6065,0.0003036,2
831,132,0.185447,2016-07-06 18:05:50,5.0,6303,0.0003036,2
832,133,0.184059,2016-07-06 18:05:50,5.0,6545,0.0003036,2
833,134,0.186701,2016-07-06 18:05:50,5.0,6790,0.0003036,2
834,135,0.186947,2016-07-06 18:05:50,5.0,7039,0.0003036,2
835,136,0.187392,2016-07-06 18:05:50,5.0,7291,0.0003036,2
836,137,0.180731,2016-07-06 18:05:50,5.0,7548,0.0003036,2
837,138,0.192947,2016-07-06 18:05:50,5.0,7808,0.0003036,2
838,139,0.189367,2016-07-06 18:05:50,5.0,8072,0.0003036,2
839,140,0.19254200000000002,2016-07-06 18:05:50,5.0,8340,0.0003036,2
1120,1,0.163201,2016-07-06 18:06:26,8.0,2,0.0003036,2
1121,2,0.168656,2016-07-06 18:06:26,8.0,4,0.0003036,2
1122,3,0.174995,2016-07-06 18:06:26,8.0,6,0.0003036,2
1123,4,0.178528,2016-07-06 18:06:26,8.0,8,0.0003036,2
1124,5,0.18112899999999998,2016-07-06 18:06:26,8.0,10,0.0003036,2
1125,6,0.180332,2016-07-06 18:06:26,8.0,12,0.0003036,2
1126,7,0.175768,2016-07-06 18:06:26,8.0,14,0.0003036,2
1127,8,0.18908599999999998,2016-07-06 18:06:26,8.0,16,0.0003036,2
1128,9,0.178475,2016-07-06 18:06:26,8.0,18,0.0003036,2
1129,10,0.18175,2016-07-06 18:06:26,8.0,20,0.0003036,2
1130,11,0.178768,2016-07-06 18:06:26,8.0,22,0.0003036,2
1131,12,0.187305,2016-07-06 18:06:26,8.0,24,0.0003036,2
1132,13,0.173448,2016-07-06 18:06:26,8.0,26,0.0003036,2
1133,14,0.190468,2016-07-06 18:06:26,8.0,28,0.0003036,2
1134,15,0.182366,2016-07-06 18:06:26,8.0,30,0.0003036,2
1135,16,0.190146,2016-07-06 18:06:26,8.0,32,0.0003036,2
1136,17,0.18758,2016-07-06 18:06:26,8.0,34,0.0003036,2
1137,18,0.18698800000000002,2016-07-06 18:06:26,8.0,36,0.0003036,2
1138,19,0.19276500000000002,2016-07-06 18:06:26,8.0,38,0.0003036,2
1139,20,0.18329700000000002,2016-07-06 18:06:26,8.0,40,0.0003036,2
1140,21,0.193615,2016-07-06 18:06:26,8.0,42,0.0003036,2
1141,22,0.191183,2016-07-06 18:06:26,8.0,44,0.0003036,2
1142,23,0.20194600000000001,2016-07-06 18:06:26,8.0,46,0.0003036,2
1143,24,0.193357,2016-07-06 18:06:26,8.0,48,0.0003036,2
1144,25,0.192179,2016-07-06 18:06:26,8.0,50,0.0003036,2
1145,26,0.195243,2016-07-06 18:06:26,8.0,52,0.0003036,2
1146,27,0.197054,2016-07-06 18:06:26,8.0,54,0.0003036,2
1147,28,0.19598800000000002,2016-07-06 18:06:26,8.0,56,0.0003036,2
1148,29,0.192027,2016-07-06 18:06:26,8.0,58,0.0003036,2
1149,30,0.188904,2016-07-06 18:06:26,8.0,60,0.0003036,2
1150,31,0.197681,2016-07-06 18:06:26,8.0,62,0.0003036,2
1151,32,0.20027,2016-07-06 18:06:26,8.0,64,0.0003036,2
1152,33,0.20779899999999998,2016-07-06 18:06:26,8.0,66,0.0003036,2
1153,34,0.205913,2016-07-06 18:06:26,8.0,68,0.0003036,2
1154,35,0.193427,2016-07-06 18:06:26,8.0,70,0.0003036,2
1155,36,0.20598899999999998,2016-07-06 18:06:26,8.0,72,0.0003036,2
1156,37,0.191277,2016-07-06 18:06:26,8.0,74,0.0003036,2
1157,38,0.19889400000000002,2016-07-06 18:06:26,8.0,76,0.0003036,2
1158,39,0.203405,2016-07-06 18:06:26,8.0,78,0.0003036,2
1159,40,0.206405,2016-07-06 18:06:26,8.0,80,0.0003036,2
1160,41,0.20733600000000002,2016-07-06 18:06:26,8.0,82,0.0003036,2
1161,42,0.20296,2016-07-06 18:06:26,8.0,84,0.0003036,2
