,flashlet_number,fyield,datetime,seq,seq_time,pfd
217,58.0,315.1,2017-01-13 22:28:15,1,58,0.00028443295999999995
218,59.0,369.0,2017-01-13 22:28:15,1,59,0.00028443295999999995
219,60.0,305.9,2017-01-13 22:28:15,1,60,0.00028443295999999995
220,61.0,345.9,2017-01-13 22:28:15,1,61,0.00028443295999999995
221,62.0,346.9,2017-01-13 22:28:15,1,62,0.00028443295999999995
222,63.0,328.8,2017-01-13 22:28:15,1,63,0.00028443295999999995
223,64.0,328.5,2017-01-13 22:28:15,1,64,0.00028443295999999995
224,65.0,315.4,2017-01-13 22:28:15,1,65,0.00028443295999999995
225,66.0,337.0,2017-01-13 22:28:15,1,66,0.00028443295999999995
226,67.0,350.3,2017-01-13 22:28:15,1,67,0.00028443295999999995
227,68.0,318.2,2017-01-13 22:28:15,1,68,0.00028443295999999995
228,69.0,332.0,2017-01-13 22:28:15,1,69,0.00028443295999999995
229,70.0,310.0,2017-01-13 22:28:15,1,70,0.00028443295999999995
230,71.0,314.9,2017-01-13 22:28:15,1,71,0.00028443295999999995
231,72.0,318.8,2017-01-13 22:28:15,1,72,0.00028443295999999995
232,73.0,323.0,2017-01-13 22:28:15,1,73,0.00028443295999999995
233,74.0,319.3,2017-01-13 22:28:15,1,74,0.00028443295999999995
234,75.0,343.3,2017-01-13 22:28:15,1,75,0.00028443295999999995
235,76.0,352.9,2017-01-13 22:28:15,1,76,0.00028443295999999995
236,77.0,320.2,2017-01-13 22:28:15,1,77,0.00028443295999999995
237,78.0,348.5,2017-01-13 22:28:15,1,78,0.00028443295999999995
238,79.0,362.6,2017-01-13 22:28:15,1,79,0.00028443295999999995
239,80.0,334.9,2017-01-13 22:28:15,1,80,0.00028443295999999995
240,81.0,331.3,2017-01-13 22:28:15,1,81,0.00028443295999999995
241,82.0,336.0,2017-01-13 22:28:15,1,82,0.00028443295999999995
242,83.0,343.8,2017-01-13 22:28:15,1,83,0.00028443295999999995
243,84.0,319.8,2017-01-13 22:28:15,1,84,0.00028443295999999995
244,85.0,309.5,2017-01-13 22:28:15,1,85,0.00028443295999999995
245,86.0,337.0,2017-01-13 22:28:15,1,86,0.00028443295999999995
246,87.0,353.0,2017-01-13 22:28:15,1,87,0.00028443295999999995
247,88.0,335.1,2017-01-13 22:28:15,1,88,0.00028443295999999995
248,89.0,337.2,2017-01-13 22:28:15,1,89,0.00028443295999999995
249,90.0,338.0,2017-01-13 22:28:15,1,90,0.00028443295999999995
250,91.0,327.7,2017-01-13 22:28:15,1,91,0.00028443295999999995
251,92.0,346.9,2017-01-13 22:28:15,1,92,0.00028443295999999995
252,93.0,311.0,2017-01-13 22:28:15,1,93,0.00028443295999999995
253,94.0,325.0,2017-01-13 22:28:15,1,94,0.00028443295999999995
254,95.0,310.1,2017-01-13 22:28:15,1,95,0.00028443295999999995
255,96.0,339.9,2017-01-13 22:28:15,1,96,0.00028443295999999995
256,97.0,332.2,2017-01-13 22:28:15,1,97,0.00028443295999999995
257,98.0,327.9,2017-01-13 22:28:15,1,98,0.00028443295999999995
258,99.0,315.1,2017-01-13 22:28:15,1,99,0.00028443295999999995
259,100.0,315.1,2017-01-13 22:28:15,1,100,0.00028443295999999995
260,101.0,225.6,2017-01-13 22:28:15,1,160,0.00028443295999999995
261,102.0,200.6,2017-01-13 22:28:15,1,220,0.00028443295999999995
262,103.0,183.0,2017-01-13 22:28:15,1,280,0.00028443295999999995
263,104.0,227.0,2017-01-13 22:28:15,1,340,0.00028443295999999995
264,105.0,257.2,2017-01-13 22:28:15,1,400,0.00028443295999999995
265,106.0,229.9,2017-01-13 22:28:15,1,460,0.00028443295999999995
266,107.0,208.4,2017-01-13 22:28:15,1,520,0.00028443295999999995
267,108.0,191.4,2017-01-13 22:28:15,1,580,0.00028443295999999995
268,109.0,209.3,2017-01-13 22:28:15,1,640,0.00028443295999999995
